Biomarker_AMP,Biomarker_AMP_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,TargetGene_AMP,TargetGene_AMP_HGNC,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,PredictedEffect_CNA2,MeanEffect_CNA6plus,DeltaEffect_CNA6minusPred2,FDR,Pair,Biomarker_Unified,Biomarker_Unified_HGNC,TargetGene_Unified,TargetGene_Unified_HGNC,CNA_P_one,CNA_Q,CNA_EffectSize,CNA_Delta,Expr_P_one,Expr_EffectSize,Expr_Delta,Validated,In_SynLethDB,In_ISLE,Novel?
208,AKT2,"208, 5704, 8857, 9149","AKT2, PSMC4, FCGBP, DYRK1B",151648,SGO1,False,-0.03535789483,-4.72740793,2.27e-06,-0.09727445715,-0.05001713335,-0.0206986563,17,5.142457067,-1.095177156,-0.9840664894,-1.455480369,-0.4714138793,0.001160103678,208_151648,208,AKT2,151648,SGO1,1.17e-05,0.006586720232,-0.09296084807,-0.4343362125,9.14e-05,-0.6627566356,-0.4838164443,True,False,False,True
208,AKT2,"208, 5704, 8857, 9149","AKT2, PSMC4, FCGBP, DYRK1B",284459,ZNF875,False,-0.0386282735,-8.568924135,1.04e-17,-0.1466544851,-0.0474636913,-0.0297928557,17,5.142457067,0.08974411405,0.2111318051,-0.1767726369,-0.387904442,8.78e-14,208_284459,208,AKT2,284459,ZNF875,3.6e-16,1.74e-12,-0.1407546892,-0.3654857627,0.02248819794,-0.7631003227,-0.3762907588,True,False,False,True
25852,PIK3CB,"25852, 349565, 51163, 5291, 55179, 5947, 9276","ARMC8, NMNAT3, DBR1, PIK3CB, FAIM, RBP1, COPB2",4605,MYBL2,False,-0.1147020015,-4.540704104,5.61e-06,-0.4553374867,-0.1642123388,-0.06519166415,17,4.235294118,-0.4623875345,-0.2059948253,-0.7140389729,-0.5080441475,0.002413848492,5291_4605,5291,PIK3CB,4605,MYBL2,4.6e-05,0.02030203814,-0.4422209081,-0.5230601084,0.002494499112,-1.183353253,-0.3904606148,True,False,False,True
444,ASPH,444,ASPH,102157402,AK6,False,-0.1791568982,-3.996946412,6.42e-05,-0.404381295,-0.2670092314,-0.09130456498,17,4.235294118,-1.059285764,-0.658817403,-1.500929717,-0.8421123136,0.01493476267,444_102157402,444,ASPH,102157402,AK6,8.11e-05,0.031216346,-0.3778907417,-0.7924714538,9.11e-07,-0.4276723188,-0.6006469594,True,False,False,True
528,ATP6V1C1,528,ATP6V1C1,102157402,AK6,False,-0.1427579587,-4.599336838,4.24e-06,-0.3222239767,-0.2035929154,-0.08192300195,17,4.058823529,-1.059285764,-0.7653723193,-1.500929717,-0.7355573972,0.001929939854,528_102157402,528,ATP6V1C1,102157402,AK6,1.08e-06,0.0009628704432,-0.3344337771,-0.7426107051,0.003300070612,-0.7456921091,-0.7371269131,True,False,False,True
636,BICD1,636,BICD1,8773,SNAP23,False,-0.2112383256,-4.158749103,3.2e-05,-0.3555745678,-0.3107921819,-0.1116844694,17,3.852941176,-0.6531398242,-0.2617276325,-1.316672665,-1.054945032,0.008893238079,636_8773,636,BICD1,8773,SNAP23,1.35e-06,0.001165986649,-0.3838982551,-1.227582813,0.0366478107,-0.7229150823,-0.9376829424,True,False,False,True
9684,LRRC14,"414919, 9684","C8orf82, LRRC14",51575,ESF1,False,-0.09511114284,-4.384538225,1.16e-05,-0.3342366636,-0.1376274593,-0.05259482643,17,4.764705882,-0.770089767,-0.5071354309,-1.082374971,-0.57523954,0.004249676069,9684_51575,9684,LRRC14,51575,ESF1,1.75e-05,0.009309593664,-0.3419692007,-0.5798640604,0.04456431246,-0.721527571,-0.4991260337,True,False,False,True
55297,CCDC91,55297,CCDC91,8773,SNAP23,False,-0.2025505244,-5.156377093,2.52e-07,-0.3409505115,-0.2795409628,-0.125560086,17,4.117647059,-0.6531398242,-0.2242093018,-1.334297093,-1.110087792,0.0001959227086,55297_8773,55297,CCDC91,8773,SNAP23,1.29e-09,2.54e-06,-0.3561246246,-1.284622479,0.001236183051,-0.8908337715,-1.211935658,True,False,False,True
8725,CCNE1,"8725, 898","URI1, CCNE1",51244,CCDC174,False,-0.0265518525,-4.720201962,2.36e-06,-0.1095040848,-0.03757694741,-0.01552675759,17,5.596795155,-0.7824648564,-0.686963282,-1.054279914,-0.367316632,0.001191476597,898_51244,898,CCNE1,51244,CCDC174,6.76e-07,0.000647487837,-0.1225302294,-0.3211439745,4.41e-05,-0.6307049638,-0.3429610827,True,False,False,True
8725,CCNE1,"8725, 898","URI1, CCNE1",898,CCNE1,True,-0.08910577197,-7.405633061,1.31e-13,-0.13970453,-0.1126883749,-0.06552316905,17,5.596795155,-0.6425779353,-0.3220827264,-1.494231957,-1.17214923,5.28e-10,898_898,898,CCNE1,898,CCNE1,6.59e-11,1.63e-07,-0.1398219794,-1.191740373,2.5e-06,-0.7342170127,-1.285494997,True,False,False,True
